hypothesis_id,client_vertical,journey_stage,audience,lever,hypothesis_statement,primary_kpi,guardrail_metric,baseline_rate,expected_lift_pct,mde_pct,sample_size_per_variant,value_pool,confidence_score,effort_points,data_quality_score,measurement_risk,priority_score,backlog_status,recommended_design
HYP-001,B2C retail,Retention,returning prospects,Adobe Target personalization,"If we change Adobe Target personalization for returning prospects, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0587,3.1,9.8,26200,271000,66.9,5,90.3,19.8,21.0,Research,A/B test with pre-period covariate adjustment
HYP-002,High-tech,Retention,existing customers,audience qualification,"If we change audience qualification for existing customers, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0371,4.7,12.8,24700,151000,71.8,2,88.8,31.2,25.0,Research,A/B test with pre-period covariate adjustment
HYP-003,High-tech,Consideration,existing customers,offer framing,"If we change offer framing for existing customers, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0461,12.4,11.8,23300,165000,66.9,7,99,20.2,29.7,Design review,A/B test with pre-period covariate adjustment
HYP-004,High-tech,Consideration,existing customers,Adobe Target personalization,"If we change Adobe Target personalization for existing customers, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0294,8.9,14.7,24100,179000,83.1,6,92.9,22.9,25.9,Research,A/B test with pre-period covariate adjustment
HYP-005,Healthcare,Retention,existing customers,audience qualification,"If we change audience qualification for existing customers, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0328,12.9,12.6,29200,274000,65.3,7,73.1,47.8,29.0,Needs QA,"Instrument first, then A/B test"
HYP-006,Financial services,Retention,new visitors,audience qualification,"If we change audience qualification for new visitors, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0269,17.0,20.9,13000,284000,62.3,9,90.4,21.2,32.3,Research,A/B test with pre-period covariate adjustment
HYP-007,Healthcare,Awareness,high intent visitors,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for high intent visitors, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.032,9.0,12.5,30600,147000,64.1,4,98.7,2.3,32.3,Research,A/B test with pre-period covariate adjustment
HYP-008,Higher education,Conversion,lookalike paid audiences,Adobe Target personalization,"If we change Adobe Target personalization for lookalike paid audiences, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0483,6.0,13.0,18400,179000,83.8,6,96.1,17.9,23.6,Research,A/B test with pre-period covariate adjustment
HYP-009,Healthcare,Awareness,abandoned journey users,email journey timing,"If we change email journey timing for abandoned journey users, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.0306,12.8,16.2,19000,192000,73.3,7,90.2,15.1,29.2,Research,A/B test with pre-period covariate adjustment
HYP-010,Higher education,Retention,returning prospects,audience qualification,"If we change audience qualification for returning prospects, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0425,10.7,10.6,31400,175000,94,9,84.7,34.3,25.0,Design review,"Instrument first, then A/B test"
HYP-011,High-tech,Retention,new visitors,audience qualification,"If we change audience qualification for new visitors, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0313,16.2,14.6,22800,164000,89.1,7,99,7.3,38.7,Ready for brief,A/B test with pre-period covariate adjustment
HYP-012,Financial services,Retention,lookalike paid audiences,paid media routing,"If we change paid media routing for lookalike paid audiences, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.027,6.4,16.3,21200,221000,75.3,6,87.4,24.8,18.4,Research,A/B test with pre-period covariate adjustment
HYP-013,Higher education,Awareness,new visitors,email journey timing,"If we change email journey timing for new visitors, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.0528,11.7,11.9,20000,159000,82.6,7,86.5,28.3,28.7,Research,A/B test with pre-period covariate adjustment
HYP-014,Financial services,Retention,abandoned journey users,audience qualification,"If we change audience qualification for abandoned journey users, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.028,16.0,16.5,20100,267000,66.2,6,85.1,25.9,39.7,Ready for brief,A/B test with pre-period covariate adjustment
HYP-015,B2C retail,Retention,existing customers,offer framing,"If we change offer framing for existing customers, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.072,16.2,9.3,23200,158000,82.7,5,94.5,15.8,40.0,Ready for brief,A/B test with pre-period covariate adjustment
HYP-016,Higher education,Retention,returning prospects,paid media routing,"If we change paid media routing for returning prospects, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0302,5.2,16.8,17900,147000,81.4,5,93.9,11.1,20.2,Research,A/B test with pre-period covariate adjustment
HYP-017,Healthcare,Retention,abandoned journey users,offer framing,"If we change offer framing for abandoned journey users, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0296,7.9,18.2,15500,272000,73.1,8,77.0,32.7,14.0,Research,"Instrument first, then A/B test"
HYP-018,Financial services,Retention,abandoned journey users,email journey timing,"If we change email journey timing for abandoned journey users, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0216,4.5,25.8,10700,237000,79.1,7,74.6,40.9,-0.3,Needs QA,"Instrument first, then A/B test"
HYP-019,Higher education,Consideration,lookalike paid audiences,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for lookalike paid audiences, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0419,3.9,11.1,29000,195000,65.2,11,84.8,33.0,2.8,Research,"Instrument first, then A/B test"
HYP-020,Higher education,Consideration,returning prospects,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for returning prospects, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0457,10.6,14.5,15500,132000,86.7,5,87.3,35.2,27.2,Research,"Instrument first, then A/B test"
HYP-021,Higher education,Consideration,abandoned journey users,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for abandoned journey users, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0555,14.8,10.2,25600,75000,55.9,6,91.6,36.1,22.2,Needs QA,"Instrument first, then A/B test"
HYP-022,B2C retail,Retention,new visitors,email journey timing,"If we change email journey timing for new visitors, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0672,13.1,10.2,21100,224000,74.1,6,98.6,15.5,38.3,Ready for brief,A/B test with pre-period covariate adjustment
HYP-023,High-tech,Conversion,returning prospects,AEP audience activation,"If we change AEP audience activation for returning prospects, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0424,9.0,10.0,35500,195000,74.3,9,84.0,26.3,21.0,Research,A/B test with pre-period covariate adjustment
HYP-024,Financial services,Awareness,high intent visitors,email journey timing,"If we change email journey timing for high intent visitors, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.0229,4.0,23.4,12200,266000,86.6,6,85.2,33.5,7.8,Research,"Instrument first, then A/B test"
HYP-025,Higher education,Consideration,new visitors,Adobe Target personalization,"If we change Adobe Target personalization for new visitors, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0488,16.3,10.1,30000,147000,74.0,4,93.0,18.9,39.4,Ready for brief,A/B test with pre-period covariate adjustment
HYP-026,High-tech,Conversion,existing customers,email journey timing,"If we change email journey timing for existing customers, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0383,11.7,11.0,32300,214000,64.5,6,97.2,25.0,32.9,Design review,A/B test with pre-period covariate adjustment
HYP-027,Higher education,Consideration,high intent visitors,Adobe Target personalization,"If we change Adobe Target personalization for high intent visitors, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.051,3.6,11.7,21500,115000,87.2,2,76.1,48.4,22.2,Needs QA,"Instrument first, then A/B test"
HYP-028,Higher education,Conversion,existing customers,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for existing customers, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0385,12.7,11.9,27500,145000,55.6,8,81.9,33.0,20.2,Design review,"Instrument first, then A/B test"
HYP-029,B2C retail,Conversion,lookalike paid audiences,Customer Journey Analytics segment,"If we change Customer Journey Analytics segment for lookalike paid audiences, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0963,15.7,7.3,27700,84000,60.0,6,90.6,19.6,26.4,Design review,A/B test with pre-period covariate adjustment
HYP-030,Higher education,Conversion,existing customers,paid media routing,"If we change paid media routing for existing customers, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0502,18.4,12.2,20100,151000,72.8,6,81.3,37.3,31.8,Needs QA,"Instrument first, then A/B test"
HYP-031,High-tech,Awareness,abandoned journey users,landing page sequencing,"If we change landing page sequencing for abandoned journey users, then qualified visit rate will improve without harming bounce rate.",qualified_visit_rate,bounce_rate,0.0259,17.0,16.2,22500,157000,60.7,5,82.3,30.2,32.8,Design review,A/B test with pre-period covariate adjustment
HYP-032,Financial services,Retention,returning prospects,offer framing,"If we change offer framing for returning prospects, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0304,14.1,15.4,21000,253000,83.7,6,84.0,22.9,38.8,Ready for brief,A/B test with pre-period covariate adjustment
HYP-033,Financial services,Conversion,returning prospects,landing page sequencing,"If we change landing page sequencing for returning prospects, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0256,12.8,14.9,27000,163000,60.8,7,84.1,18.4,25.3,Research,A/B test with pre-period covariate adjustment
HYP-034,High-tech,Retention,high intent visitors,landing page sequencing,"If we change landing page sequencing for high intent visitors, then repeat engagement rate will improve without harming unsubscribe rate.",repeat_engagement_rate,unsubscribe_rate,0.0458,5.5,9.7,34900,172000,57.5,5,88.9,23.6,21.7,Research,A/B test with pre-period covariate adjustment
HYP-035,Healthcare,Consideration,existing customers,landing page sequencing,"If we change landing page sequencing for existing customers, then lead start rate will improve without harming cost per lead.",lead_start_rate,cost_per_lead,0.0282,10.6,15.4,22900,215000,87.3,5,88.8,29.7,31.8,Research,A/B test with pre-period covariate adjustment
HYP-036,B2C retail,Conversion,abandoned journey users,offer framing,"If we change offer framing for abandoned journey users, then application submit rate will improve without harming checkout error rate.",application_submit_rate,checkout_error_rate,0.0634,9.9,12.5,14700,276000,75.7,4,89.9,18.3,38.3,Ready for brief,A/B test with pre-period covariate adjustment
